invocador,tier,LP,nivel,Taxa_de_vitoria,champ_jogados_1,champ_jogados_2,champ_jogados_3,liga
QUINDINHO,Challenger,1664,854,53%,Katarina,Riven,Fiora,BR
VRX Disamis,Challenger,1512,245,59%,Graves,Diana,Nocturne,BR
hidanvs1,Challenger,1760,86,58%,Jayce,Gnar,Camille,BR
scuro,Challenger,1332,998,53%,Pyke,Nautilus,Aphelios,BR
pao com gelo,Challenger,1511,750,53%,Le Blanc,Syndra,Irelia,BR
Nick link,Challenger,1830,343,58%,Jax,Trindamere,Akshan,BR
RISE Morttheus,Challenger,1610,577,55%,Jinx,Zeri,Jhin,BR
Minerva,Challenger,1313,793,52%,Diana,Xin Zhao,Rek'Sai,BR
KBM SON,Challenger,1745,127,59%,Lee sin,Zed,Nidalee,BR
SSG Corejj,Challenger,1801,130,59%,Renata Glasc,Karma,Tahm Kench,BR
february 18,Challenger,1590,71,74%,Fiora,Sylas,Camille,NA
tang yuan ya,Challenger,1624,277,59%,Lee sin,Diana,Graves,NA
insanity123,Challenger,1791,74,60%,Xerath,Veigar,Akaly,NA
dasdqwr1,Challenger,1569,471,60%,Irelia,Jayce,Gang Plank,NA
Shrimp Cpt,Challenger,1600,240,53%,Gang Plank,Rumble,Aatrox,NA
Built,Challenger,1584,248,61%,Riven,Camille,Wukong,EUW
MAD AD,Challenger,1644,719,55%,Aphelios,Jinx,Jhin,EUW
KC Rekkles,Challenger,1335,1200,54%,Zeri,Jinx,Jhin,EUW
Drututt,Challenger,1434,311,57%,Akshan,Camille,Zeri,EUW
MagiFelix5,Challenger,1877,466,55%,Zilean,Karma,Lucian,EUW
byz,Challenger,1523,95,55%,Graves,Viego,Talon,KR
MIDKlNG,Challenger,1595,254,63%,Ahri,Vex,Le Blanc,KR
Lego77,Challenger,1541,66,57%,Rumble,Singed,Shen,KR
JUGKlNG,Challenger,1575,363,55%,Nidalee,Akshan,Lee sin,KR
SMB heixiaohu,Challenger,1571,85,57%,Lee sin,Viego,Graves,KR
Kill,Challenger,1142,176,56%,Gwen,Vladimir,Graves,RU
ArtJ,Challenger,1166,541,67%,Katarina,Lee Sin ,Galio,RU
Ufa Uchaly 102,Challenger,821,432,54%,Karma ,Sion,Senna,RU
sei,Challenger,866,521,56%,Yasuo,Yone,Irelia,RU
МrGrаek,Challenger,1138,830,57%,Illaoi,Graves,Shen,RU
Moyyuu,Challenger,1239,228,59%,Nunu  Willump,Fiora,Blitzcrank,JP
NO GG PLZ,Challenger,1024,142,52%,Xerath,Vex,LeBlanc,JP
"
Calça",Challenger,982,148,57%,Kayn,Talon,Viego,JP
FA Ramune,Challenger,978,283,53%,LeBlanc,Taliya,Akalli,JP
mini tigela,Challenger,882,57,60%,Evellyn,Nidalee,Rek'Sai,JP
CorreQueTeGankeo,Challenger,1670,385,57%,Poppy,Kennen,Lilia,LAS
exselor,Challenger,1670,662,57%,Lee Sin,Kha Zix,Diana,LAS
MERCENARY,Challenger,1602,65,60%,Lucian,Jinx,Kai'sa,LAS
Di Morwinela,Challenger,1602,375,60%,Zeri,Veigar,Ekko,LAS
Evaine Defy,Challenger,1267,763,55%,Camille,Jax,Wukong,LAS
Snoopy,Challenger,1649,303,61%,Evellyn,Diana,Kayn,EUNE
Turostza,Challenger,1599,236,61%,Shaco,Jarvan IV,Volibear,EUNE
IGNITE SUPP PLS,Challenger,1563,483,59%,Draven,Kog Maw,Caitlyn,EUNE
I am Sobek,Challenger,1475,724,54%,Draven,Karthus,Ezreal,EUNE
Dealersz R1,Challenger,1467,65,56%,Yasuo,Yone,Kayn,EUNE
Haka,Challenger,1740,662,56%,Jax,Gwen,Fiora,LAN
Luha,Challenger,1358,402,61%,Zac,Wukong,Twitch,LAN
FBGG Melvox,Challenger,1337,89,55%,Jax,Wukong,Irelia,LAN
Sanha,Challenger,1260,723,69%,Soraka,Janna,Senna,LAN
Meguitan,Challenger,1254,186,57%,Diana,Kayn,Xin Zhao,LAN
