"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Alex Ich","Gambit Gaming","Middle",12,"58%",,61,32,55,3.6,"73.0%","38.4%","20.5%",,,,,8.8,,,,,266,"29.3%",,,,
"Alunir","Gaminggear.EU","Jungle",8,"13%",,10,31,29,1.3,"66.1%","16.9%","19.9%",,,,,3.5,,,,,101,"15.4%",,,,
"BalIs","Cloud9","Top",3,"33%",,11,9,16,3,"79.4%","32.4%","15.0%",,,,,6.4,,,,,203,"23.8%",,,,
"Bengi","SK Telecom T1","Jungle",18,"83%",,45,34,167,6.2,"67.7%","14.4%","18.7%",,,,,3.1,,,,,160,"15.0%",,,,
"Benny","Team Vulcun","Top",8,"38%",,10,20,35,2.3,"50.0%","11.1%","17.7%",,,,,6.3,,,,,181,"20.7%",,,,
"BloodWater","Team Vulcun","Support",8,"38%",,13,14,52,4.6,"72.2%","14.4%","12.4%",,,,,1,,,,,104,"11.4%",,,,
"Cain","NaJin Black Sword","Support",8,"50%",,9,30,59,2.3,"61.8%","8.2%","29.4%",,,,,0.5,,,,,83,"8.8%",,,,
"Cool","Oh My God","Middle",10,"70%",,66,18,60,7,"66.3%","34.7%","16.7%",,,,,8.6,,,,,286,"28.0%",,,,
"Cyanide","Fnatic","Jungle",15,"67%",,48,38,166,5.6,"65.0%","14.6%","23.9%",,,,,2.8,,,,,146,"14.4%",,,,
"Da7","Oh My God","Support",1,"100%",,3,5,17,4,"46.5%","7.0%","38.5%",,,,,0.9,,,,,139,"10.4%",,,,
"dade","Samsung White","Middle",9,"56%",,26,29,67,3.2,"64.1%","17.9%","21.0%",,,,,8.1,,,,,242,"25.6%",,,,
"DanDy","Samsung White","Jungle",9,"56%",,39,27,75,4.2,"78.6%","26.9%","19.6%",,,,,2.6,,,,,148,"15.6%",,,,
"Darien","Gambit Gaming","Top",12,"58%",,22,26,74,3.7,"60.4%","13.8%","16.7%",,,,,6.7,,,,,194,"21.9%",,,,
"DeadlyBrother","Gaminggear.EU","ADC",8,"13%",,21,29,17,1.3,"64.4%","35.6%","18.6%",,,,,6.9,,,,,180,"27.5%",,,,
"Dexter","Lemondogs","Jungle",8,"38%",,28,21,39,3.2,"65.0%","27.2%","21.0%",,,,,3.5,,,,,135,"16.0%",,,,
"Diamondprox","Gambit Gaming","Jungle",12,"58%",,24,34,87,3.3,"69.8%","15.1%","21.8%",,,,,3.9,,,,,143,"16.0%",,,,
"Dyrus","TSM","Support",1,"0%",,2,5,8,2,"62.5%","12.5%","20.0%",,,,,2.1,,,,,104,"12.6%",,,,
"Dyrus","TSM","Top",7,"29%",,18,38,36,1.4,"52.4%","17.5%","24.5%",,,,,6.4,,,,,183,"21.6%",,,,
"Exosen","Mineski","ADC",8,"0%",,22,37,29,1.4,"71.8%","31.0%","19.1%",,,,,6.6,,,,,174,"26.6%",,,,
"Expession","NaJin Black Sword","Top",8,"50%",,26,17,36,3.6,"56.4%","23.6%","16.7%",,,,,7.1,,,,,217,"23.9%",,,,
"Faker","SK Telecom T1","Middle",18,"83%",,80,39,108,4.8,"60.1%","25.6%","21.4%",,,,,8.8,,,,,277,"26.1%",,,,
"Genja","Gambit Gaming","ADC",12,"58%",,44,24,65,4.5,"68.6%","27.7%","15.4%",,,,,7.1,,,,,216,"23.4%",,,,
"GodLike","Royal Club","Top",9,"56%",,16,34,67,2.4,"63.8%","12.3%","19.4%",,,,,5,,,,,158,"18.4%",,,,
"Gogoing","Oh My God","Top",10,"70%",,30,23,88,5.1,"62.1%","15.8%","21.3%",,,,,6.8,,,,,227,"21.8%",,,,
"Hai","Cloud9","Middle",3,"33%",,5,17,16,1.2,"61.8%","14.7%","28.3%",,,,,6.5,,,,,188,"21.5%",,,,
"imp","Samsung White","ADC",9,"56%",,51,23,54,4.6,"72.4%","35.2%","16.7%",,,,,7.4,,,,,257,"27.4%",,,,
"Impact","SK Telecom T1","Top",18,"83%",,53,39,125,4.6,"56.9%","16.9%","21.4%",,,,,7,,,,,234,"21.9%",,,,
"Inspirro","Gaminggear.EU","Support",8,"13%",,5,41,34,1,"66.1%","8.5%","26.3%",,,,,0.7,,,,,62,"8.6%",,,,
"Kaigu","Mineski","Jungle",8,"0%",,13,36,39,1.4,"73.2%","18.3%","18.6%",,,,,4,,,,,118,"18.4%",,,,
